IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
156.231.115.49	56871	TRUE	NRT	亚太	日本东京	158 ms	8821 kB/s
156.224.78.88	51941	TRUE	HKG	亚太	香港	154 ms	8807 kB/s
166.0.198.81	28135	TRUE	TPE	亚太	台北	132 ms	8807 kB/s
45.207.157.138	62912	TRUE	HKG	亚太	香港	154 ms	8787 kB/s
156.224.79.89	28364	TRUE	HKG	亚太	香港	156 ms	8770 kB/s
154.83.86.191	15243	TRUE	HKG	亚太	香港	156 ms	8763 kB/s
38.6.219.86	20004	TRUE	HKG	亚太	香港	157 ms	8740 kB/s
156.224.79.164	17639	TRUE	HKG	亚太	香港	154 ms	8740 kB/s
45.207.157.233	62910	TRUE	HKG	亚太	香港	159 ms	8737 kB/s
151.242.165.136	30252	TRUE	NRT	亚太	日本东京	103 ms	8711 kB/s
154.83.86.112	17001	TRUE	HKG	亚太	香港	157 ms	8670 kB/s
166.0.198.72	17009	TRUE	TPE	亚太	台北	133 ms	8650 kB/s
45.207.157.76	57564	TRUE	HKG	亚太	香港	156 ms	8639 kB/s
166.0.198.81	28133	TRUE	TPE	亚太	台北	132 ms	8567 kB/s
141.11.87.86	28318	TRUE	TPE	亚太	台北	136 ms	8558 kB/s
151.242.165.136	49065	TRUE	NRT	亚太	日本东京	107 ms	8554 kB/s
166.0.198.81	28059	TRUE	TPE	亚太	台北	140 ms	8554 kB/s
156.246.91.216	18551	TRUE	NRT	亚太	日本东京	99 ms	8491 kB/s
166.0.198.81	28095	TRUE	TPE	亚太	台北	132 ms	8491 kB/s
166.0.198.81	28021	TRUE	TPE	亚太	台北	136 ms	8466 kB/s
166.0.198.81	28049	TRUE	TPE	亚太	台北	132 ms	8331 kB/s
45.149.186.200	27160	TRUE	HKG	亚太	香港	156 ms	8298 kB/s
45.207.157.233	62911	TRUE	HKG	亚太	香港	153 ms	8294 kB/s
166.0.198.81	28085	TRUE	TPE	亚太	台北	136 ms	8279 kB/s
83.147.14.195	17009	TRUE	TPE	亚太	台北	132 ms	8274 kB/s
166.0.198.81	28129	TRUE	TPE	亚太	台北	139 ms	8265 kB/s
156.229.161.89	17009	TRUE	LAX	北美洲	美国洛杉矶	0 ms	8238 kB/s
156.226.173.62	23830	TRUE	HKG	亚太	香港	156 ms	8186 kB/s
82.152.91.251	45401	TRUE	TPE	亚太	台北	134 ms	8172 kB/s
45.207.157.111	24704	TRUE	HKG	亚太	香港	160 ms	8156 kB/s
166.0.198.81	28144	TRUE	TPE	亚太	台北	132 ms	8148 kB/s
185.126.80.34	33619	TRUE	SIN	亚太	新加坡	223 ms	8062 kB/s
156.231.113.112	12092	TRUE	NRT	亚太	日本东京	149 ms	8056 kB/s
166.0.198.81	28001	TRUE	TPE	亚太	台北	133 ms	8044 kB/s
166.0.198.81	28143	TRUE	TPE	亚太	台北	136 ms	8019 kB/s
45.207.157.17	15215	TRUE	HKG	亚太	香港	155 ms	7990 kB/s
45.207.157.17	15213	TRUE	HKG	亚太	香港	156 ms	7987 kB/s
166.0.198.81	28105	TRUE	TPE	亚太	台北	132 ms	7967 kB/s
166.0.198.81	28048	TRUE	TPE	亚太	台北	136 ms	7911 kB/s
166.0.198.81	28161	TRUE	TPE	亚太	台北	132 ms	7901 kB/s
82.152.91.8	1118	TRUE	TPE	亚太	台北	132 ms	7896 kB/s
166.0.198.39	22778	TRUE	TPE	亚太	台北	132 ms	7874 kB/s
212.135.39.44	55543	TRUE	LHR	欧洲	英国伦敦	140 ms	7836 kB/s
156.246.93.132	10836	TRUE	NRT	亚太	日本东京	98 ms	7828 kB/s
154.16.10.4	443	TRUE	HKG	亚太	香港	152 ms	7823 kB/s
166.0.198.81	28051	TRUE	TPE	亚太	台北	132 ms	7818 kB/s
166.0.198.81	28097	TRUE	TPE	亚太	台北	132 ms	7816 kB/s
166.0.198.81	28114	TRUE	TPE	亚太	台北	136 ms	7808 kB/s
151.242.164.228	59450	TRUE	NRT	亚太	日本东京	99 ms	7764 kB/s
166.0.198.81	28093	TRUE	TPE	亚太	台北	136 ms	7754 kB/s
156.231.113.253	7876	TRUE	NRT	亚太	日本东京	152 ms	7750 kB/s
154.83.86.191	15241	TRUE	HKG	亚太	香港	163 ms	7722 kB/s
166.0.198.81	28078	TRUE	TPE	亚太	台北	132 ms	7712 kB/s
156.226.170.99	8080	TRUE	HKG	亚太	香港	157 ms	7683 kB/s
104.234.233.123	58485	TRUE	SIN	亚太	新加坡	164 ms	7679 kB/s
45.207.156.101	28144	TRUE	HKG	亚太	香港	157 ms	7679 kB/s
141.11.90.56	25463	TRUE	HKG	亚太	香港	155 ms	7676 kB/s
156.226.174.20	443	TRUE	FRA	欧洲	德国法兰克福	155 ms	7658 kB/s
166.0.198.81	28006	TRUE	TPE	亚太	台北	137 ms	7640 kB/s
166.0.198.81	28094	TRUE	TPE	亚太	台北	132 ms	7602 kB/s
166.0.198.81	28079	TRUE	TPE	亚太	台北	136 ms	7582 kB/s
45.192.241.147	7777	TRUE	NRT	亚太	日本东京	160 ms	7575 kB/s
141.11.149.167	26123	TRUE	HKG	亚太	香港	153 ms	7572 kB/s
166.0.198.81	28032	TRUE	TPE	亚太	台北	139 ms	7544 kB/s
141.11.148.167	16046	TRUE	HKG	亚太	香港	159 ms	7513 kB/s
154.83.93.182	52485	TRUE	NRT	亚太	日本东京	156 ms	7511 kB/s
166.0.198.81	28025	TRUE	TPE	亚太	台北	137 ms	7479 kB/s
166.0.198.81	28009	TRUE	TPE	亚太	台北	132 ms	7452 kB/s
45.207.157.233	62914	TRUE	HKG	亚太	香港	154 ms	7450 kB/s
156.224.79.122	25463	TRUE	HKG	亚太	香港	158 ms	7448 kB/s
85.208.104.159	47556	TRUE	HKG	亚太	香港	155 ms	7428 kB/s
104.234.233.56	58486	TRUE	SIN	亚太	新加坡	165 ms	7419 kB/s
38.207.130.12	48021	TRUE	NRT	亚太	日本东京	105 ms	7395 kB/s
82.152.91.231	17009	TRUE	TPE	亚太	台北	133 ms	7304 kB/s
82.152.90.151	53860	TRUE	TPE	亚太	台北	141 ms	7298 kB/s
166.0.198.81	28126	TRUE	TPE	亚太	台北	132 ms	7283 kB/s
45.207.157.138	62916	TRUE	HKG	亚太	香港	158 ms	7279 kB/s
156.226.170.181	59979	TRUE	HKG	亚太	香港	154 ms	7265 kB/s
166.0.198.81	28148	TRUE	TPE	亚太	台北	134 ms	7263 kB/s
45.207.157.114	16301	TRUE	HKG	亚太	香港	153 ms	7257 kB/s
166.0.198.81	28018	TRUE	TPE	亚太	台北	132 ms	7255 kB/s
104.234.233.123	58483	TRUE	SIN	亚太	新加坡	164 ms	7246 kB/s
82.152.90.67	36007	TRUE	TPE	亚太	台北	133 ms	7245 kB/s
154.83.94.181	29517	TRUE	NRT	亚太	日本东京	158 ms	7237 kB/s
45.39.198.118	42813	TRUE	HKG	亚太	香港	155 ms	7191 kB/s
166.0.198.81	28022	TRUE	TPE	亚太	台北	132 ms	7188 kB/s
154.83.87.39	443	TRUE	HKG	亚太	香港	156 ms	7162 kB/s
82.152.91.112	49921	TRUE	HKG	亚太	香港	132 ms	7146 kB/s
45.196.234.191	43533	TRUE	AMS	欧洲	荷兰阿姆斯特丹	157 ms	7143 kB/s
154.83.85.203	16043	TRUE	HKG	亚太	香港	157 ms	7119 kB/s
45.207.157.138	62914	TRUE	HKG	亚太	香港	155 ms	7102 kB/s
154.83.86.191	17459	TRUE	HKG	亚太	香港	155 ms	7079 kB/s
156.231.112.195	14785	TRUE	NRT	亚太	日本东京	148 ms	7033 kB/s
45.207.157.138	62913	TRUE	HKG	亚太	香港	156 ms	7022 kB/s
104.234.233.123	58481	TRUE	SIN	亚太	新加坡	164 ms	6967 kB/s
166.0.198.81	28106	TRUE	TPE	亚太	台北	133 ms	6948 kB/s
166.0.198.81	28067	TRUE	TPE	亚太	台北	132 ms	6915 kB/s
181.214.136.144	443	TRUE	NRT	亚太	日本东京	100 ms	6896 kB/s
45.207.157.233	62915	TRUE	HKG	亚太	香港	157 ms	6840 kB/s
166.0.198.81	28071	TRUE	TPE	亚太	台北	136 ms	6768 kB/s
166.0.198.81	28159	TRUE	TPE	亚太	台北	132 ms	6727 kB/s
166.0.198.81	28091	TRUE	TPE	亚太	台北	132 ms	6707 kB/s
154.83.94.181	18742	TRUE	NRT	亚太	日本东京	151 ms	6690 kB/s
156.224.78.192	51816	TRUE	HKG	亚太	香港	157 ms	6688 kB/s
141.11.87.155	18883	TRUE	TPE	亚太	台北	133 ms	6687 kB/s
154.83.84.114	33930	TRUE	HKG	亚太	香港	156 ms	6633 kB/s
166.0.198.81	28104	TRUE	TPE	亚太	台北	132 ms	6614 kB/s
82.152.91.80	25248	TRUE	TPE	亚太	台北	133 ms	6578 kB/s
166.0.198.148	17009	TRUE	TPE	亚太	台北	136 ms	6570 kB/s
156.224.76.216	19265	TRUE	HKG	亚太	香港	153 ms	6564 kB/s
45.196.234.36	41033	TRUE	HKG	亚太	香港	156 ms	6552 kB/s
83.147.15.21	17009	TRUE	TPE	亚太	台北	132 ms	6552 kB/s
166.0.199.197	26515	TRUE	TPE	亚太	台北	133 ms	6508 kB/s
185.81.29.23	48621	TRUE	SIN	亚太	新加坡	226 ms	6478 kB/s
82.152.90.91	17009	TRUE	TPE	亚太	台北	136 ms	6453 kB/s
166.0.198.72	40663	TRUE	TPE	亚太	台北	136 ms	6412 kB/s
156.226.174.20	443	TRUE	FRA	欧洲	德国法兰克福	153 ms	6383 kB/s
151.242.165.130	18361	TRUE	NRT	亚太	日本东京	99 ms	6288 kB/s
166.0.199.115	17009	TRUE	TPE	亚太	台北	132 ms	6288 kB/s
166.0.198.81	28005	TRUE	TPE	亚太	台北	139 ms	6288 kB/s
141.11.149.48	35333	TRUE	HKG	亚太	香港	157 ms	6273 kB/s
83.147.14.5	17009	TRUE	TPE	亚太	台北	132 ms	6272 kB/s
45.192.248.195	443	TRUE	NRT	亚太	日本东京	98 ms	6264 kB/s
45.196.234.36	15785	TRUE	HKG	亚太	香港	160 ms	6227 kB/s
45.207.157.114	17403	TRUE	HKG	亚太	香港	154 ms	6222 kB/s
166.0.198.81	28124	TRUE	TPE	亚太	台北	136 ms	6212 kB/s
82.153.65.154	19247	TRUE	NRT	亚太	日本东京	103 ms	6183 kB/s
166.0.198.81	28087	TRUE	TPE	亚太	台北	139 ms	6108 kB/s
45.207.157.114	17401	TRUE	HKG	亚太	香港	156 ms	6103 kB/s
154.83.98.75	49649	TRUE	HKG	亚太	香港	157 ms	6098 kB/s
45.207.34.3	55443	TRUE	HKG	亚太	香港	153 ms	6076 kB/s
45.207.156.126	47230	TRUE	HKG	亚太	香港	156 ms	6074 kB/s
166.0.198.81	28082	TRUE	TPE	亚太	台北	132 ms	6055 kB/s
166.0.198.81	28125	TRUE	TPE	亚太	台北	132 ms	6046 kB/s
166.0.198.81	28040	TRUE	TPE	亚太	台北	132 ms	6025 kB/s
38.6.219.86	20003	TRUE	HKG	亚太	香港	155 ms	5997 kB/s
156.226.174.20	443	TRUE	FRA	欧洲	德国法兰克福	150 ms	5995 kB/s
166.0.198.81	28068	TRUE	TPE	亚太	台北	136 ms	5977 kB/s
154.83.86.191	17453	TRUE	HKG	亚太	香港	155 ms	5942 kB/s
154.16.10.205	55443	TRUE	HKG	亚太	香港	150 ms	5941 kB/s
166.0.198.81	28058	TRUE	TPE	亚太	台北	136 ms	5934 kB/s
166.0.199.172	16582	TRUE	TPE	亚太	台北	132 ms	5922 kB/s
104.234.233.56	58482	TRUE	SIN	亚太	新加坡	164 ms	5904 kB/s
156.246.91.248	39545	TRUE	NRT	亚太	日本东京	98 ms	5879 kB/s
166.0.198.81	28031	TRUE	TPE	亚太	台北	136 ms	5793 kB/s
104.234.233.123	58486	TRUE	SIN	亚太	新加坡	164 ms	5792 kB/s
166.0.198.81	28003	TRUE	TPE	亚太	台北	132 ms	5776 kB/s
154.83.94.203	54332	TRUE	NRT	亚太	日本东京	154 ms	5713 kB/s
141.11.87.35	38232	TRUE	HKG	亚太	香港	140 ms	5710 kB/s
45.8.186.31	80	TRUE	HKG	亚太	香港	156 ms	5694 kB/s
141.11.87.86	28121	TRUE	TPE	亚太	台北	132 ms	5638 kB/s
166.0.198.81	28116	TRUE	TPE	亚太	台北	132 ms	5627 kB/s
156.226.172.105	46181	TRUE	HKG	亚太	香港	157 ms	5602 kB/s
45.207.157.233	62912	TRUE	HKG	亚太	香港	157 ms	5505 kB/s
104.234.233.56	58485	TRUE	SIN	亚太	新加坡	164 ms	5478 kB/s
166.0.198.35	17009	TRUE	TPE	亚太	台北	137 ms	5432 kB/s
38.207.130.30	61844	TRUE	LAX	北美洲	美国洛杉矶	102 ms	5341 kB/s
45.149.186.112	8080	TRUE	HKG	亚太	香港	155 ms	5328 kB/s
156.226.172.134	8843	TRUE	HKG	亚太	香港	157 ms	5317 kB/s
45.196.234.36	10592	TRUE	HKG	亚太	香港	156 ms	5286 kB/s
166.0.198.81	28017	TRUE	TPE	亚太	台北	132 ms	5265 kB/s
141.11.87.155	17009	TRUE	TPE	亚太	台北	132 ms	5161 kB/s
45.192.241.161	21120	TRUE	NRT	亚太	日本东京	157 ms	5100 kB/s
45.207.156.101	28264	TRUE	HKG	亚太	香港	158 ms	5065 kB/s
166.0.198.81	28155	TRUE	TPE	亚太	台北	133 ms	4975 kB/s
45.192.241.218	12621	TRUE	NRT	亚太	日本东京	148 ms	4942 kB/s
166.0.198.81	28057	TRUE	TPE	亚太	台北	132 ms	4881 kB/s
45.39.199.181	25558	TRUE	HKG	亚太	香港	158 ms	4858 kB/s
166.0.198.81	28138	TRUE	TPE	亚太	台北	132 ms	4845 kB/s
166.0.198.81	28118	TRUE	TPE	亚太	台北	133 ms	4845 kB/s
82.152.91.152	3232	TRUE	TPE	亚太	台北	132 ms	4815 kB/s
166.0.198.81	28113	TRUE	TPE	亚太	台北	132 ms	4778 kB/s
45.192.248.38	10865	TRUE	NRT	亚太	日本东京	98 ms	4750 kB/s
185.126.80.138	22627	TRUE	SIN	亚太	新加坡	223 ms	4730 kB/s
45.207.159.89	63357	TRUE	TPE	亚太	台北	132 ms	4700 kB/s
83.147.13.156	12580	TRUE	TPE	亚太	台北	134 ms	4677 kB/s
91.229.133.130	22991	TRUE	HKG	亚太	香港	158 ms	4674 kB/s
156.226.170.40	44806	TRUE	HKG	亚太	香港	152 ms	4645 kB/s
141.11.86.65	20542	TRUE	TPE	亚太	台北	136 ms	4630 kB/s
45.207.157.17	15219	TRUE	HKG	亚太	香港	160 ms	4558 kB/s
156.226.168.99	8080	TRUE	HKG	亚太	香港	159 ms	4541 kB/s
82.152.91.116	57236	TRUE	TPE	亚太	台北	132 ms	4530 kB/s
154.83.86.145	8443	TRUE	HKG	亚太	香港	158 ms	4522 kB/s
45.207.156.255	443	TRUE	HKG	亚太	香港	157 ms	4476 kB/s
45.39.198.106	10086	TRUE	HKG	亚太	香港	157 ms	4418 kB/s
91.229.133.211	13076	TRUE	HKG	亚太	香港	155 ms	4392 kB/s
166.0.198.81	28145	TRUE	TPE	亚太	台北	132 ms	4168 kB/s
156.226.174.20	443	TRUE	FRA	欧洲	德国法兰克福	149 ms	4107 kB/s
156.231.112.195	51254	TRUE	NRT	亚太	日本东京	148 ms	4098 kB/s
91.229.132.58	443	TRUE	HKG	亚太	香港	156 ms	4032 kB/s
166.0.199.20	33472	TRUE	TPE	亚太	台北	132 ms	3987 kB/s
166.0.198.81	28065	TRUE	TPE	亚太	台北	138 ms	3983 kB/s
156.224.76.181	12222	TRUE	HKG	亚太	香港	152 ms	3901 kB/s
141.11.86.65	17009	TRUE	TPE	亚太	台北	132 ms	3884 kB/s
45.196.235.201	55549	TRUE	HKG	亚太	香港	156 ms	3809 kB/s
185.155.235.56	44426	TRUE	HKG	亚太	香港	149 ms	3778 kB/s
154.83.84.230	7768	TRUE	HKG	亚太	香港	156 ms	3731 kB/s
185.81.29.233	27015	TRUE	SIN	亚太	新加坡	233 ms	3716 kB/s
166.0.198.81	28121	TRUE	TPE	亚太	台北	140 ms	3612 kB/s
156.224.79.89	28143	TRUE	HKG	亚太	香港	157 ms	3537 kB/s
45.207.35.20	55443	TRUE	HKG	亚太	香港	154 ms	3435 kB/s
83.147.15.150	21883	TRUE	TPE	亚太	台北	136 ms	3421 kB/s
5.253.36.226	39231	TRUE	SIN	亚太	新加坡	225 ms	3246 kB/s
45.207.34.14	8080	TRUE	HKG	亚太	香港	153 ms	3241 kB/s
166.0.198.81	28111	TRUE	TPE	亚太	台北	136 ms	3046 kB/s
156.243.244.134	443	TRUE	NRT	亚太	日本东京	152 ms	3039 kB/s
141.11.90.246	37220	TRUE	HKG	亚太	香港	153 ms	2938 kB/s
50.114.55.60	443	TRUE	SIN	亚太	新加坡	186 ms	2749 kB/s
145.79.148.60	443	TRUE	TPE	亚太	台北	132 ms	2742 kB/s
166.0.198.81	28062	TRUE	TPE	亚太	台北	136 ms	2312 kB/s
82.152.90.213	8080	TRUE	TPE	亚太	台北	132 ms	1784 kB/s
156.226.171.183	8817	TRUE	HKG	亚太	香港	156 ms	1417 kB/s
166.0.198.81	28050	TRUE	TPE	亚太	台北	136 ms	1373 kB/s
185.81.29.136	52473	TRUE	SIN	亚太	新加坡	231 ms	1308 kB/s
185.81.28.95	30503	TRUE	SIN	亚太	新加坡	180 ms	1299 kB/s
156.246.90.47	57484	TRUE	NRT	亚太	日本东京	98 ms	1128 kB/s
156.224.77.74	34126	TRUE	HKG	亚太	香港	153 ms	1107 kB/s
